Country Code;Indicator Name;Indicator Code;2019
TEA;GDP (current US$);NY.GDP.MKTP.CD;1.72E+13
TEC;GDP (current US$);NY.GDP.MKTP.CD;4.16E+12
TGO;GDP (current US$);NY.GDP.MKTP.CD;5490272413
THA;GDP (current US$);NY.GDP.MKTP.CD;5.44E+11
TJK;GDP (current US$);NY.GDP.MKTP.CD;8116626794
TKM;GDP (current US$);NY.GDP.MKTP.CD;
TLA;GDP (current US$);NY.GDP.MKTP.CD;5.49E+12
TLS;GDP (current US$);NY.GDP.MKTP.CD;2017924900
TMN;GDP (current US$);NY.GDP.MKTP.CD;
TON;GDP (current US$);NY.GDP.MKTP.CD;512350059.4
TSA;GDP (current US$);NY.GDP.MKTP.CD;3.59E+12
TSS;GDP (current US$);NY.GDP.MKTP.CD;1.77E+12
TTO;GDP (current US$);NY.GDP.MKTP.CD;24269714810
TUN;GDP (current US$);NY.GDP.MKTP.CD;38796687568
TUR;GDP (current US$);NY.GDP.MKTP.CD;7.61E+11
TUV;GDP (current US$);NY.GDP.MKTP.CD;47271463.33
TZA;GDP (current US$);NY.GDP.MKTP.CD;63177068175
UGA;GDP (current US$);NY.GDP.MKTP.CD;35165157017
UKR;GDP (current US$);NY.GDP.MKTP.CD;1.54E+11
UMC;GDP (current US$);NY.GDP.MKTP.CD;2.58E+13
URY;GDP (current US$);NY.GDP.MKTP.CD;56045912953
USA;GDP (current US$);NY.GDP.MKTP.CD;2.14E+13
UZB;GDP (current US$);NY.GDP.MKTP.CD;57921286440
VCT;GDP (current US$);NY.GDP.MKTP.CD;824718518.5
VEN;GDP (current US$);NY.GDP.MKTP.CD;
VGB;GDP (current US$);NY.GDP.MKTP.CD;
VIR;GDP (current US$);NY.GDP.MKTP.CD;
VNM;GDP (current US$);NY.GDP.MKTP.CD;2.62E+11
VUT;GDP (current US$);NY.GDP.MKTP.CD;934239973.8
WLD;GDP (current US$);NY.GDP.MKTP.CD;8.78E+13
WSM;GDP (current US$);NY.GDP.MKTP.CD;852250191
XKX;GDP (current US$);NY.GDP.MKTP.CD;7926133714
YEM;GDP (current US$);NY.GDP.MKTP.CD;22581081994
ZAF;GDP (current US$);NY.GDP.MKTP.CD;3.51E+11
ZMB;GDP (current US$);NY.GDP.MKTP.CD;23309773923
ZWE;GDP (current US$);NY.GDP.MKTP.CD;21440758800
